Respondent_ID,Satisfaction_Index,Perceived_Control_Importance_Index
184,2.5714285714285716,2.5
187,2.142857142857143,2.5
188,4.0,4.0
190,3.142857142857143,3.0
191,2.7142857142857144,3.0
192,,
193,3.5714285714285716,3.5
195,3.4285714285714284,4.0
196,3.5714285714285716,4.0
199,3.7142857142857144,3.5
200,2.7142857142857144,3.0
201,4.0,4.25
202,4.0,3.75
203,,
205,2.857142857142857,3.5
206,2.857142857142857,3.75
214,3.142857142857143,3.75
217,3.4285714285714284,3.5
219,3.857142857142857,4.25
221,2.2857142857142856,2.75
226,3.0,3.0
230,4.142857142857143,4.0
234,2.5714285714285716,3.25
235,3.5714285714285716,4.0
236,3.0,2.25
238,3.4285714285714284,3.0
240,2.7142857142857144,2.25
241,3.4285714285714284,3.75
242,3.0,
243,,
247,2.857142857142857,4.5
264,2.5714285714285716,3.75
265,3.4285714285714284,4.0
266,,
269,2.4285714285714284,3.0
270,3.2857142857142856,3.75
271,4.0,4.0
273,,
274,,
275,2.142857142857143,3.5
276,3.7142857142857144,4.25
277,2.857142857142857,3.5
278,4.0,4.5
279,2.5714285714285716,2.75
280,,
281,3.142857142857143,3.25
283,,
285,,
286,,
287,,
289,3.0,3.0
295,3.4285714285714284,3.75
304,3.0,3.5
308,3.5714285714285716,2.75
309,3.5714285714285716,3.25
310,3.0,2.75
315,,
323,1.4285714285714286,1.25
326,,
328,,
329,,
330,3.4285714285714284,2.5
332,1.2857142857142858,2.0
333,,
336,,
337,3.2857142857142856,3.25
341,,
342,4.571428571428571,4.0
343,,
345,4.0,4.75
346,,
348,,
349,3.4285714285714284,3.5
350,5.0,5.0
351,,
352,3.5714285714285716,3.5
353,1.4285714285714286,1.0
355,3.142857142857143,2.5
356,2.7142857142857144,3.25
359,2.4285714285714284,3.0
360,3.5714285714285716,2.75
361,3.0,3.0
365,,
367,,
368,3.4285714285714284,4.75
372,3.0,3.25
374,2.7142857142857144,3.25
375,2.857142857142857,3.0
377,2.142857142857143,2.75
379,2.5714285714285716,3.75
383,3.4285714285714284,3.25
385,,
387,3.2857142857142856,3.75
389,3.7142857142857144,3.75
390,2.5714285714285716,3.0
391,3.4285714285714284,2.25
393,3.142857142857143,4.0
394,3.142857142857143,2.5
395,2.2857142857142856,3.25
396,2.7142857142857144,3.25
397,3.7142857142857144,3.25
400,3.5714285714285716,3.25
403,1.4285714285714286,2.6666666666666665
404,3.142857142857143,3.25
405,3.4285714285714284,3.75
406,3.0,4.0
410,2.7142857142857144,3.5
411,2.7142857142857144,2.75
412,2.2857142857142856,3.25
413,2.7142857142857144,3.0
415,3.2857142857142856,3.5
416,,
417,3.2857142857142856,3.5
418,,
420,3.0,1.75
428,2.5714285714285716,2.75
429,1.6666666666666667,1.5
430,5.0,5.0
431,3.4285714285714284,3.0
433,3.142857142857143,2.5
437,3.857142857142857,4.25
440,3.0,3.75
441,3.0,3.75
442,2.857142857142857,3.0
444,4.0,4.5
450,,
456,1.0,1.0
458,2.7142857142857144,4.0
459,3.0,3.5
461,2.7142857142857144,3.25
462,3.4285714285714284,3.75
463,3.4285714285714284,3.5
464,3.857142857142857,3.5
466,3.857142857142857,4.0
467,3.857142857142857,4.0
468,3.4285714285714284,4.0
469,3.857142857142857,4.5
470,3.142857142857143,3.75
471,4.0,4.25
474,4.571428571428571,4.0
475,4.0,4.0
476,3.0,3.75
477,2.2857142857142856,3.25
478,4.857142857142857,4.0
479,1.8571428571428572,1.25
480,3.7142857142857144,3.0
481,2.4285714285714284,3.0
482,2.5714285714285716,3.75
483,5.0,4.75
484,3.1666666666666665,3.75
485,4.285714285714286,4.75
486,3.0,3.0
488,3.0,3.25
489,,
490,3.5714285714285716,3.75
491,4.142857142857143,3.75
492,3.2857142857142856,3.5
495,3.2857142857142856,3.75
496,3.4285714285714284,3.25
497,3.0,3.0
499,3.0,3.0
500,2.2857142857142856,3.5
